YearsCodePro,JobSatisfaction,CodingLanguageNum,OfficeStackAsyncNum,OpSysProfessionalNum,NEWCollabToolsNum,WorkExp,DatabaseNum,PlatformNum,OfficeStackSyncNum,avg_score,ConvertedCompYearly,LogComp,Full-time Employment,Age_encoded,EdLevel_encoded,RemoteWork_encoded,Continent_encoded
2.0,0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,3.375,4847.0,8.486115235845377,1,1,1,1,1
20.0,1,3.0,0.0,0.0,3.0,20.0,1.0,1.0,1.0,4.125,400000.0,12.89921982609012,0,4,6,2,3
14.0,0,8.0,5.0,2.0,5.0,14.0,1.0,1.0,5.0,3.375,64254.0,11.07059925762893,1,2,1,2,2
23.0,1,8.0,3.0,2.0,6.0,23.0,8.0,2.0,2.0,4.0,2034.0,7.617759576608505,1,3,6,0,2
5.0,0,5.0,2.0,3.0,7.0,5.0,4.0,3.0,3.0,3.125,18205.0,9.809451560609531,1,1,3,0,2
3.0,0,8.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,3.0,64254.0,11.07059925762893,1,1,1,1,2
5.0,0,5.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,3.25,61469.0,11.02628826167047,1,1,2,0,2
8.0,0,4.0,2.0,1.0,6.0,8.0,8.0,2.0,11.0,3.25,24234.0,10.095511884791469,1,2,1,0,1
8.0,0,3.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,3.5,4605.0,8.434897948689407,1,1,2,0,2
7.0,2,5.0,4.0,1.0,2.0,7.0,1.0,0.0,4.0,2.0,77021.0,11.251833390925226,1,3,1,1,2
2.0,0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,3.25,90613.0,11.414352969596392,1,1,1,1,2
20.0,0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,3.625,62246.0,11.03884955523427,1,2,5,2,0
20.0,0,3.0,2.0,1.0,1.0,22.0,1.0,1.0,2.0,3.0,14897.0,9.608915129379591,1,3,4,0,2
3.0,2,4.0,1.0,5.0,5.0,3.0,6.0,5.0,5.0,2.375,14102.0,9.554071910278983,1,1,1,1,2
5.0,1,5.0,3.0,3.0,1.0,6.0,1.0,1.0,4.0,4.0,40575.0,10.610907392382792,1,1,1,2,6
4.0,1,6.0,3.0,1.0,3.0,6.0,3.0,3.0,5.0,3.75,48813.0,10.795751949807428,1,1,2,0,2
3.0,0,6.0,2.0,2.0,3.0,5.0,3.0,0.0,1.0,3.125,59970.0,11.001599716162556,1,1,1,0,2
8.0,1,4.0,1.0,1.0,1.0,8.0,0.0,2.0,3.0,3.875,1627.0,7.394493107219038,1,1,1,2,2
15.0,2,1.0,4.0,2.0,3.0,23.0,3.0,1.0,1.0,2.375,65325.0,11.087130090388811,1,2,1,2,2
5.0,2,5.0,1.0,2.0,4.0,5.0,0.0,3.0,6.0,2.75,5354.0,8.585599224080298,0,1,2,2,2
